,date,apple stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,name_volume,tick_volume
1,2020-09-08,-3.8147886392613644,-2.699449664447615,-3.6794294372257617,1,0.26109583333333314,0.1160425925925925,0.10110367796924159,0.24240628609506745,10794,378
2,2020-09-09,2.2145072678156366,1.4990527231122588,1.6280745643882732,2,0.315828813559322,0.1502733870967742,0.08231929437706718,0.2370273015873014,4535,124
3,2020-09-10,1.4773002726001403,0.39912867681915115,0.5901913240333688,3,0.3290302325581397,0.13474571428571436,0.08557946318640773,0.22378506117192645,4061,105
4,2020-09-11,0.44521208628041314,0.395064266914463,0.5607640616831794,4,0.25913333333333344,0.11960000000000005,0.10837855989667429,0.25563472962680905,3097,91
5,2020-09-14,1.308796160904163,0.804721538391864,1.1181529682468123,0,0.3808264367816089,0.16483532338308443,0.10938331425664465,0.2615022803283663,7863,201
6,2020-09-15,1.4404401237121116,0.8769006118482903,0.9555949266744033,1,0.37428378378378374,0.1688841463414634,0.10845650525087537,0.2778691330343802,3428,82
7,2020-09-16,-0.2867280255353879,0.2380612891870251,0.06567136858947743,2,0.2029835164835165,0.09877807486631017,0.09074406390753813,0.25308968949988175,11767,187
8,2020-09-17,-1.3925365096311728,-1.9572818070549693,-2.34719947002225,3,0.2695442622950819,0.11661134751773047,0.07468919943154897,0.20945719030222504,8444,141
9,2020-09-18,-0.09189351429585281,-0.1977668167986116,0.33050026233080176,4,0.2596440677966102,0.12765833333333335,0.1061406165180304,0.25751331138287903,5158,120
10,2020-09-21,-1.3346128445992818,-1.74388376506736,-1.746221328181084,0,0.3695711111111109,0.20531728395061716,0.10708433437707558,0.24880110229276886,10539,243
11,2020-09-22,1.2456056124725765,0.4482981234709881,0.5946539922465202,1,0.1988,0.06874392523364486,0.11638913367073564,0.2822751624548744,3359,107
12,2020-09-23,-0.22353747710380148,-0.009625392457207926,-0.3101890396432583,2,0.39554285714285714,0.15525981308411216,0.11597773073666398,0.2714062747688246,3543,107
13,2020-09-24,-1.1503161176140573,-0.7008063841349448,-0.8932259378747256,3,0.4022901639344264,0.2230881818181819,0.10190696733159887,0.25178300000000037,3459,110
14,2020-09-25,-0.012910350575019353,-0.6624643492346212,-0.1330491061787996,4,0.44679636363636355,0.2296616822429906,0.107777707199032,0.26891554716981114,3306,107
15,2020-09-28,1.3140630443038583,1.3844561901898325,1.2381345202800973,0,0.35455368421052624,0.1840579234972677,0.10313541329011341,0.2571092929292928,8638,183
16,2020-09-29,-0.33938480716758346,-0.2451408737093532,-0.27402660644739035,1,0.388222,0.19607171717171717,0.1046864804823867,0.24783403456048123,3151,99
17,2020-09-30,-0.28146114213569245,0.0445116663003589,-0.13760234514904435,2,0.2939513513513513,0.13427407407407407,0.09791001821493632,0.24600732265446243,3294,81
18,2020-10-01,0.8401439747042592,0.8173553545454609,0.8474287415892218,3,0.44065714285714286,0.18324356435643566,0.09872896430661215,0.24294859611231126,3418,101
19,2020-10-02,-2.1771374205340894,-2.1030167865913616,-2.2591729278325814,4,0.39476111111111106,0.1798911392405063,0.09758355167394474,0.23815239786856138,2748,79
20,2020-10-05,0.3451654064157175,0.6359879467118709,0.5912040697717778,0,0.33060270270270264,0.1641919463087248,0.10715939179446829,0.2707913216296782,7629,149
21,2020-10-06,-0.5447530852065094,-0.20814262744960405,-0.3535312637650818,1,0.43769729729729734,0.22184657534246577,0.11043398558187469,0.24329302325581467,3884,73
22,2020-10-07,0.6453094634647241,0.849837589800001,0.7850337236570071,2,0.31492000000000003,0.13996444444444447,0.08764803268114368,0.25257187112763274,4651,90
23,2020-10-08,0.4926019845129132,0.4550721399788016,0.46186079493710347,3,0.3323526315789474,0.14190337078651688,0.08449475100942128,0.22870528233151186,4458,89
24,2020-10-09,0.03974643105717618,0.36482902250153915,0.3595817090629979,4,0.23022500000000004,0.1376057471264368,0.0993638723634397,0.2516764383561644,3698,87
25,2020-10-12,1.5036266546887782,0.8178069556459818,1.082739802223263,0,0.37843055555555544,0.1828657718120805,0.09750153002968666,0.23739738671114702,8758,149
26,2020-10-13,0.33462762216140696,-0.22392663664585905,0.012893318319551778,1,0.45336323529411765,0.17923662790697675,0.10523462897526521,0.27286623036649266,3962,172
27,2020-10-14,-0.1761475788713014,-0.054741443865345005,0.010110325965224966,2,0.317868695652174,0.14113861003861009,0.08245954086137547,0.23703048505358154,20386,259
28,2020-10-15,-1.424133792574426,-1.7912578219781017,-1.962990084726534,3,0.3422878787878787,0.15060666666666664,0.10884392397772953,0.27738160469666984,10418,150
29,2020-10-16,0.17665727726482033,0.24392108883280852,0.2022603039916298,4,0.49084285714285725,0.1930280898876405,0.13342760983474314,0.3134790719696948,4962,89
30,2020-10-19,0.37149178850435544,0.22993246937764883,0.3103523857300985,0,0.419322077922078,0.22114931506849317,0.11935567099566974,0.30526085031000566,11550,146
31,2020-10-20,-0.007647484630243572,0.34769021000372147,0.24433453751414463,1,0.43563684210526327,0.1947552941176471,0.1285794908062234,0.3163037578288099,3535,85
32,2020-10-21,-0.5658166013503716,-0.3592858055312586,-0.08491486563621216,2,0.3297964285714285,0.18468599999999996,0.14291043800392447,0.31882158483228457,4589,100
33,2020-10-22,0.1819201432095961,-0.08181548057462258,0.15436484089956154,3,0.5463864864864864,0.2847366197183098,0.11410683170673663,0.2664607003891054,4201,71
34,2020-10-23,0.21351742615284916,0.3003161530929799,0.05083423183652797,4,0.45966818181818164,0.2528174999999999,0.11889682962245889,0.3036351668726824,4132,80
35,2020-10-26,-0.6658632812150672,-1.2958844586896356,-1.1096571125073724,0,0.5080052631578947,0.2924878787878788,0.12628307366638294,0.3282137103873201,11810,165
36,2020-10-27,0.10819984543353842,-0.11610412023124629,0.2228280995570392,1,0.41277826086956504,0.2086571428571428,0.11437766240681545,0.2843166776968887,3756,91
37,2020-10-28,-0.9396809561754358,-2.389045503135918,-1.8921555189742452,2,0.42626304347826105,0.2420753086419754,0.10654837735849049,0.2755561483409237,3975,81
38,2020-10-29,0.4926060019678329,0.06255368099921842,0.3003978361550064,3,0.36430714285714283,0.16814175824175823,0.10683778223783247,0.27943267716535447,3986,91
39,2020-10-30,-2.366705048373929,-0.9597720786312121,-0.894485694768844,4,0.37263894736842107,0.1770035,0.11552057404114804,0.30000296833773077,3937,200
40,2020-11-02,0.008153165568842796,0.969390720167169,0.6314174859212811,0,0.32536762589928026,0.16688597785977843,0.10918435546697963,0.27405322874033383,11039,271
41,2020-11-03,0.3451654064157175,0.9590149095161765,0.48125117066029766,1,0.3541979166666667,0.20001764705882358,0.10051345527436717,0.2885965467625895,3991,85
42,2020-11-04,1.8248382453365666,1.4683768922598022,2.185636378760903,2,0.49778048780487794,0.24889024390243897,0.11519824817518218,0.31128520710059093,4110,82
43,2020-11-05,1.4562367564562781,1.6939571493004877,1.6995760602609775,3,0.5288729729729729,0.28359855072463763,0.13608589101619994,0.3484250377073898,3395,69
44,2020-11-06,-0.49735916951908976,-0.30964272845692414,-0.379409799178245,4,0.3803864864864865,0.21820620155038759,0.10879446967672976,0.28279006944444407,3743,129
45,2020-11-09,0.8296102079048683,3.106091761307376,1.0746460700211826,0,0.593094949494949,0.31567956989247287,0.0987359759431383,0.29041238273921194,10974,186
46,2020-11-10,-0.5289524350074232,-0.5410937998043813,-0.9722201054706174,1,0.4666266666666667,0.25923703703703704,0.10351262357414465,0.27061451292246563,3945,81
47,2020-11-11,0.5189323840564708,0.5836462776953993,0.6645499156071127,2,0.4065744186046512,0.19643483146067417,0.0900751673360108,0.2685001995211495,7470,89
48,2020-11-12,-0.05503336540782398,-0.6651629411767583,-0.06661133899813966,3,0.4690761904761905,0.1990020202020202,0.0912933985330074,0.26224041058887104,5317,99
49,2020-11-13,-0.0023765837756284398,0.4875543752333417,0.5175124083184494,4,0.43313750000000006,0.25478676470588235,0.0826019044062734,0.2257223469387757,5356,68
50,2020-11-16,-0.3025286757344743,0.46273834402666864,-0.051856539297093364,0,0.4576220000000001,0.20991834862385325,0.09682672920136735,0.2593337637943173,11407,109
51,2020-11-17,-0.5184226856629519,-0.9633738727743909,-0.2929970632058784,1,0.2672470588235294,0.10096,0.09155084745762719,0.23636406025824983,3599,45
52,2020-11-18,-0.5342193184071186,-0.09895429307244027,-0.22976220734425148,2,0.32512,0.11611428571428573,0.09452724968314329,0.24745189117451907,3945,56
53,2020-11-19,-0.35518545736666984,-0.5925322666198111,-0.39231201521147024,3,0.20948518518518522,0.0975189655172414,0.07282794333170495,0.17684317912218273,4094,58
54,2020-11-20,-0.12349079723910587,-0.3299537633193765,-0.30336329804048634,4,0.44290454545454544,0.17716181818181817,0.08719617021276592,0.21690454545454535,3995,55
55,2020-11-23,-0.20774084435963477,0.20422425063092228,0.31886603689688525,0,0.23988529411764706,0.10456538461538462,0.09268996212121229,0.2382811468758457,9504,78
56,2020-11-24,-0.09189351429585281,0.5493576380387756,0.29281459367472534,1,-0.10676111111111111,-0.04088723404255319,0.10801581240389542,0.23678522471910107,3902,47
57,2020-11-25,0.0766105974001247,-0.21038961829122027,-0.05793301372754658,2,0.3037608695652174,0.1091640625,0.08954818381948274,0.23014009900990118,3634,64
58,2020-11-27,0.16086064452065363,0.1870854381331046,0.34406940848444256,4,0.26712608695652174,0.08777,0.12564673965545003,0.30165902589872445,6211,70
59,2020-11-30,0.0766105974001247,-0.4025954525373121,-0.04696571841404565,0,0.18016562500000002,0.06068736842105264,0.10638207269155213,0.27065779443923793,8144,95
60,2020-12-01,0.9085973890806214,0.8791696320118831,0.764293020282601,1,0.2047157894736842,0.08643555555555556,0.09338217054263566,0.2353146506386176,3354,90
61,2020-12-02,-0.49209630357431394,-0.6056066692129406,-0.7869041027521749,2,0.3493146341463414,0.1290261261261261,0.10908325701202062,0.26285303448275865,3494,111
62,2020-12-03,0.10819984543353842,-0.2473878645509694,-0.03440931799881373,3,0.029717857142857147,0.012607575757575758,0.10404129050925931,0.24196951547779286,3456,66
,date,apple stock,S&P 500,NASDAQ,day of week,tick_neutral,tick_polar,name_neutral,name_polar,tick_volume,name_volume,target
1,2020-09-08,-3.8147886392613644,-2.699449664447615,-3.6794294372257617,1,0.26109583333333314,0.1160425925925925,0.10110367796924159,0.24240628609506745,378,10794,0
2,2020-09-09,2.2145072678156366,1.4990527231122588,1.6280745643882732,2,0.315828813559322,0.1502733870967742,0.08231929437706718,0.2370273015873014,124,4535,1
3,2020-09-10,1.4773002726001403,0.39912867681915115,0.5901913240333688,3,0.3290302325581397,0.13474571428571436,0.08557946318640773,0.22378506117192645,105,4061,1
4,2020-09-11,0.44521208628041314,0.395064266914463,0.5607640616831794,4,0.25913333333333344,0.11960000000000005,0.10837855989667429,0.25563472962680905,91,3097,1
5,2020-09-14,1.308796160904163,0.804721538391864,1.1181529682468123,0,0.3808264367816089,0.16483532338308443,0.10938331425664465,0.2615022803283663,201,7863,1
6,2020-09-15,1.4404401237121116,0.8769006118482903,0.9555949266744033,1,0.37428378378378374,0.1688841463414634,0.10845650525087537,0.2778691330343802,82,3428,1
7,2020-09-16,-0.2867280255353879,0.2380612891870251,0.06567136858947743,2,0.2029835164835165,0.09877807486631017,0.09074406390753813,0.25308968949988175,187,11767,0
8,2020-09-17,-1.3925365096311728,-1.9572818070549693,-2.34719947002225,3,0.2695442622950819,0.11661134751773047,0.07468919943154897,0.20945719030222504,141,8444,0
9,2020-09-18,-0.09189351429585281,-0.1977668167986116,0.33050026233080176,4,0.2596440677966102,0.12765833333333335,0.1061406165180304,0.25751331138287903,120,5158,1
10,2020-09-21,-1.3346128445992818,-1.74388376506736,-1.746221328181084,0,0.3695711111111109,0.20531728395061716,0.10708433437707558,0.24880110229276886,243,10539,0
11,2020-09-22,1.2456056124725765,0.4482981234709881,0.5946539922465202,1,0.1988,0.06874392523364486,0.11638913367073564,0.2822751624548744,107,3359,1
12,2020-09-23,-0.22353747710380148,-0.009625392457207926,-0.3101890396432583,2,0.39554285714285714,0.15525981308411216,0.11597773073666398,0.2714062747688246,107,3543,0
13,2020-09-24,-1.1503161176140573,-0.7008063841349448,-0.8932259378747256,3,0.4022901639344264,0.2230881818181819,0.10190696733159887,0.25178300000000037,110,3459,0
14,2020-09-25,-0.012910350575019353,-0.6624643492346212,-0.1330491061787996,4,0.44679636363636355,0.2296616822429906,0.107777707199032,0.26891554716981114,107,3306,1
15,2020-09-28,1.3140630443038583,1.3844561901898325,1.2381345202800973,0,0.35455368421052624,0.1840579234972677,0.10313541329011341,0.2571092929292928,183,8638,1
16,2020-09-29,-0.33938480716758346,-0.2451408737093532,-0.27402660644739035,1,0.388222,0.19607171717171717,0.1046864804823867,0.24783403456048123,99,3151,0
17,2020-09-30,-0.28146114213569245,0.0445116663003589,-0.13760234514904435,2,0.2939513513513513,0.13427407407407407,0.09791001821493632,0.24600732265446243,81,3294,0
18,2020-10-01,0.8401439747042592,0.8173553545454609,0.8474287415892218,3,0.44065714285714286,0.18324356435643566,0.09872896430661215,0.24294859611231126,101,3418,1
19,2020-10-02,-2.1771374205340894,-2.1030167865913616,-2.2591729278325814,4,0.39476111111111106,0.1798911392405063,0.09758355167394474,0.23815239786856138,79,2748,0
20,2020-10-05,0.3451654064157175,0.6359879467118709,0.5912040697717778,0,0.33060270270270264,0.1641919463087248,0.10715939179446829,0.2707913216296782,149,7629,1
21,2020-10-06,-0.5447530852065094,-0.20814262744960405,-0.3535312637650818,1,0.43769729729729734,0.22184657534246577,0.11043398558187469,0.24329302325581467,73,3884,0
22,2020-10-07,0.6453094634647241,0.849837589800001,0.7850337236570071,2,0.31492000000000003,0.13996444444444447,0.08764803268114368,0.25257187112763274,90,4651,1
23,2020-10-08,0.4926019845129132,0.4550721399788016,0.46186079493710347,3,0.3323526315789474,0.14190337078651688,0.08449475100942128,0.22870528233151186,89,4458,1
24,2020-10-09,0.03974643105717618,0.36482902250153915,0.3595817090629979,4,0.23022500000000004,0.1376057471264368,0.0993638723634397,0.2516764383561644,87,3698,1
25,2020-10-12,1.5036266546887782,0.8178069556459818,1.082739802223263,0,0.37843055555555544,0.1828657718120805,0.09750153002968666,0.23739738671114702,149,8758,1
26,2020-10-13,0.33462762216140696,-0.22392663664585905,0.012893318319551778,1,0.45336323529411765,0.17923662790697675,0.10523462897526521,0.27286623036649266,172,3962,1
27,2020-10-14,-0.1761475788713014,-0.054741443865345005,0.010110325965224966,2,0.317868695652174,0.14113861003861009,0.08245954086137547,0.23703048505358154,259,20386,0
28,2020-10-15,-1.424133792574426,-1.7912578219781017,-1.962990084726534,3,0.3422878787878787,0.15060666666666664,0.10884392397772953,0.27738160469666984,150,10418,0
29,2020-10-16,0.17665727726482033,0.24392108883280852,0.2022603039916298,4,0.49084285714285725,0.1930280898876405,0.13342760983474314,0.3134790719696948,89,4962,1
30,2020-10-19,0.37149178850435544,0.22993246937764883,0.3103523857300985,0,0.419322077922078,0.22114931506849317,0.11935567099566974,0.30526085031000566,146,11550,1
31,2020-10-20,-0.007647484630243572,0.34769021000372147,0.24433453751414463,1,0.43563684210526327,0.1947552941176471,0.1285794908062234,0.3163037578288099,85,3535,1
32,2020-10-21,-0.5658166013503716,-0.3592858055312586,-0.08491486563621216,2,0.3297964285714285,0.18468599999999996,0.14291043800392447,0.31882158483228457,100,4589,0
33,2020-10-22,0.1819201432095961,-0.08181548057462258,0.15436484089956154,3,0.5463864864864864,0.2847366197183098,0.11410683170673663,0.2664607003891054,71,4201,1
34,2020-10-23,0.21351742615284916,0.3003161530929799,0.05083423183652797,4,0.45966818181818164,0.2528174999999999,0.11889682962245889,0.3036351668726824,80,4132,1
35,2020-10-26,-0.6658632812150672,-1.2958844586896356,-1.1096571125073724,0,0.5080052631578947,0.2924878787878788,0.12628307366638294,0.3282137103873201,165,11810,0
36,2020-10-27,0.10819984543353842,-0.11610412023124629,0.2228280995570392,1,0.41277826086956504,0.2086571428571428,0.11437766240681545,0.2843166776968887,91,3756,1
37,2020-10-28,-0.9396809561754358,-2.389045503135918,-1.8921555189742452,2,0.42626304347826105,0.2420753086419754,0.10654837735849049,0.2755561483409237,81,3975,0
38,2020-10-29,0.4926060019678329,0.06255368099921842,0.3003978361550064,3,0.36430714285714283,0.16814175824175823,0.10683778223783247,0.27943267716535447,91,3986,1
39,2020-10-30,-2.366705048373929,-0.9597720786312121,-0.894485694768844,4,0.37263894736842107,0.1770035,0.11552057404114804,0.30000296833773077,200,3937,0
40,2020-11-02,0.008153165568842796,0.969390720167169,0.6314174859212811,0,0.32536762589928026,0.16688597785977843,0.10918435546697963,0.27405322874033383,271,11039,1
41,2020-11-03,0.3451654064157175,0.9590149095161765,0.48125117066029766,1,0.3541979166666667,0.20001764705882358,0.10051345527436717,0.2885965467625895,85,3991,1
42,2020-11-04,1.8248382453365666,1.4683768922598022,2.185636378760903,2,0.49778048780487794,0.24889024390243897,0.11519824817518218,0.31128520710059093,82,4110,1
43,2020-11-05,1.4562367564562781,1.6939571493004877,1.6995760602609775,3,0.5288729729729729,0.28359855072463763,0.13608589101619994,0.3484250377073898,69,3395,1
44,2020-11-06,-0.49735916951908976,-0.30964272845692414,-0.379409799178245,4,0.3803864864864865,0.21820620155038759,0.10879446967672976,0.28279006944444407,129,3743,0
45,2020-11-09,0.8296102079048683,3.106091761307376,1.0746460700211826,0,0.593094949494949,0.31567956989247287,0.0987359759431383,0.29041238273921194,186,10974,1
46,2020-11-10,-0.5289524350074232,-0.5410937998043813,-0.9722201054706174,1,0.4666266666666667,0.25923703703703704,0.10351262357414465,0.27061451292246563,81,3945,0
47,2020-11-11,0.5189323840564708,0.5836462776953993,0.6645499156071127,2,0.4065744186046512,0.19643483146067417,0.0900751673360108,0.2685001995211495,89,7470,1
48,2020-11-12,-0.05503336540782398,-0.6651629411767583,-0.06661133899813966,3,0.4690761904761905,0.1990020202020202,0.0912933985330074,0.26224041058887104,99,5317,1
49,2020-11-13,-0.0023765837756284398,0.4875543752333417,0.5175124083184494,4,0.43313750000000006,0.25478676470588235,0.0826019044062734,0.2257223469387757,68,5356,1
50,2020-11-16,-0.3025286757344743,0.46273834402666864,-0.051856539297093364,0,0.4576220000000001,0.20991834862385325,0.09682672920136735,0.2593337637943173,109,11407,0
51,2020-11-17,-0.5184226856629519,-0.9633738727743909,-0.2929970632058784,1,0.2672470588235294,0.10096,0.09155084745762719,0.23636406025824983,45,3599,0
52,2020-11-18,-0.5342193184071186,-0.09895429307244027,-0.22976220734425148,2,0.32512,0.11611428571428573,0.09452724968314329,0.24745189117451907,56,3945,0
53,2020-11-19,-0.35518545736666984,-0.5925322666198111,-0.39231201521147024,3,0.20948518518518522,0.0975189655172414,0.07282794333170495,0.17684317912218273,58,4094,0
54,2020-11-20,-0.12349079723910587,-0.3299537633193765,-0.30336329804048634,4,0.44290454545454544,0.17716181818181817,0.08719617021276592,0.21690454545454535,55,3995,0
55,2020-11-23,-0.20774084435963477,0.20422425063092228,0.31886603689688525,0,0.23988529411764706,0.10456538461538462,0.09268996212121229,0.2382811468758457,78,9504,0
56,2020-11-24,-0.09189351429585281,0.5493576380387756,0.29281459367472534,1,-0.10676111111111111,-0.04088723404255319,0.10801581240389542,0.23678522471910107,47,3902,1
57,2020-11-25,0.0766105974001247,-0.21038961829122027,-0.05793301372754658,2,0.3037608695652174,0.1091640625,0.08954818381948274,0.23014009900990118,64,3634,1
58,2020-11-27,0.16086064452065363,0.1870854381331046,0.34406940848444256,4,0.26712608695652174,0.08777,0.12564673965545003,0.30165902589872445,70,6211,1
59,2020-11-30,0.0766105974001247,-0.4025954525373121,-0.04696571841404565,0,0.18016562500000002,0.06068736842105264,0.10638207269155213,0.27065779443923793,95,8144,1
60,2020-12-01,0.9085973890806214,0.8791696320118831,0.764293020282601,1,0.2047157894736842,0.08643555555555556,0.09338217054263566,0.2353146506386176,90,3354,1
61,2020-12-02,-0.49209630357431394,-0.6056066692129406,-0.7869041027521749,2,0.3493146341463414,0.1290261261261261,0.10908325701202062,0.26285303448275865,111,3494,0
62,2020-12-03,0.10819984543353842,-0.2473878645509694,-0.03440931799881373,3,0.029717857142857147,0.012607575757575758,0.10404129050925931,0.24196951547779286,66,3456,1
