Date,AAPL,MSFT,FB,GOOG,AMZN,^GSPC,^IXIC
2020-09-08,-7.010002136230469,-7.75,-11.45001220703125,-57.530029296875,-150.6201171875,-55.080078125,-412.4296875
2020-09-09,4.44000244140625,4.94000244140625,4.6099853515625,25.1400146484375,53.14990234375,37.97998046875,217.0693359375
2020-09-10,3.0400009155273438,2.1100006103515625,1.790008544921875,3.6800537109375,38.60986328125,13.60009765625,93.970703125
2020-09-11,1.0800018310546875,1.8300018310546875,1.970001220703125,3.97998046875,33.579833984375,13.510009765625,90.48046875
2020-09-14,2.720001220703125,0.2100067138671875,4.34002685546875,18.2850341796875,56.719970703125,22.590087890625,156.58984375
2020-09-15,2.970001220703125,3.0099945068359375,4.52001953125,16.719970703125,33.18994140625,24.18994140625,137.3095703125
2020-09-16,-0.30999755859375,1.839996337890625,-5.1300048828125,14.10009765625,23.860107421875,10.030029296875,31.759765625
2020-09-17,-2.4099960327148438,-5.0,-5.239990234375,-24.9000244140625,-68.85009765625,-38.6298828125,-254.419921875
2020-09-18,0.06000518798828125,-0.1100006103515625,3.579986572265625,2.47998046875,23.010009765625,0.369873046875,63.169921875
2020-09-21,-2.2999954223632812,-3.1999969482421875,-4.9900054931640625,-19.929931640625,-48.409912109375,-33.89990234375,-183.140625
2020-09-22,2.5999984741210938,2.5200042724609375,5.160003662109375,18.929931640625,73.3701171875,14.68994140625,94.5
2020-09-23,-0.18999481201171875,0.4799957275390625,0.5099945068359375,-6.679931640625,-8.56005859375,4.5400390625,-12.8193359375
2020-09-24,-1.9500045776367188,-0.739990234375,-2.5200042724609375,-4.179931640625,-22.070068359375,-10.780029296875,-81.970703125
2020-09-25,0.20999908447265625,0.3600006103515625,-0.1300048828125,4.3399658203125,35.070068359375,-9.93017578125,8.1904296875
2020-09-28,2.7300033569335938,3.05999755859375,4.579986572265625,29.25,53.72021484375,35.43994140625,170.8203125
2020-09-29,-0.40999603271484375,-0.089996337890625,0.989990234375,5.8699951171875,1.33984375,-0.68017578125,-8.5302734375
2020-09-30,-0.29999542236328125,0.470001220703125,0.19000244140625,-2.5299072265625,-3.739990234375,5.739990234375,7.650390625
2020-10-01,1.8300018310546875,3.160003662109375,3.45001220703125,14.6700439453125,59.27001953125,22.8701171875,124.48046875
2020-10-02,-3.9000015258789062,-4.4600067138671875,-5.420013427734375,-28.0599365234375,-67.630126953125,-41.860107421875,-243.9794921875
2020-10-05,0.8900070190429688,1.029998779296875,2.260009765625,7.7899169921875,20.840087890625,18.85009765625,94.0908203125
2020-10-06,-0.8000030517578125,-1.55999755859375,-2.8699951171875,-10.4400634765625,-34.199951171875,0.139892578125,-17.9599609375
2020-10-07,1.4599990844726562,1.149993896484375,0.54998779296875,10.85009765625,35.0400390625,23.590087890625,117.080078125
2020-10-08,1.1699981689453125,0.67999267578125,1.6300048828125,4.7999267578125,29.300048828125,14.840087890625,78.75
2020-10-09,0.30999755859375,0.649993896484375,0.759979248046875,8.7698974609375,19.449951171875,12.83984375,66.619140625
2020-10-12,3.089996337890625,2.9799957275390625,5.75,27.780029296875,63.2900390625,22.880126953125,152.3896484375
2020-10-13,0.8699951171875,1.32000732421875,1.829986572265625,14.5799560546875,25.06005859375,-0.2099609375,25.5
2020-10-14,-0.09999847412109375,0.1399993896484375,1.47998046875,6.909912109375,3.3701171875,3.5400390625,25.169921875
2020-10-15,-2.470001220703125,-3.7599945068359375,-4.220001220703125,-20.929931640625,-71.699951171875,-34.949951171875,-208.8505859375
2020-10-16,0.5699996948242188,0.489990234375,0.660003662109375,6.719970703125,24.580078125,10.159912109375,47.9599609375
2020-10-19,0.94000244140625,0.7599945068359375,-0.399993896484375,7.449951171875,26.900146484375,9.849853515625,60.7802734375
2020-10-20,0.21999359130859375,1.5800018310546875,1.660003662109375,-7.5599365234375,15.070068359375,12.4599609375,52.9501953125
2020-10-21,-0.8400039672851562,-1.529998779296875,12.0,17.39990234375,-4.510009765625,-3.210205078125,13.8994140625
2020-10-22,0.5799942016601562,-0.8700103759765625,1.139984130859375,-0.260009765625,4.93017578125,2.93994140625,42.279296875
2020-10-23,0.6399993896484375,0.1399993896484375,0.67999267578125,10.739990234375,14.60009765625,11.409912109375,30.0
2020-10-26,-1.029998779296875,-2.3799896240234375,-1.6300048828125,-15.989990234375,-5.659912109375,-23.969970703125,-107.640625
2020-10-27,0.43999481201171875,1.5099945068359375,1.6500244140625,5.2200927734375,17.89990234375,2.179931640625,50.3994140625
2020-10-28,-1.5499954223632812,-5.5800018310546875,-4.5,-44.52001953125,-37.030029296875,-48.199951171875,-200.44921875
2020-10-29,1.1700057983398438,1.3900146484375,8.879974365234375,5.739990234375,38.489990234375,6.139892578125,59.599609375
2020-10-30,-4.260002136230469,-1.220001220703125,-6.329986572265625,104.8699951171875,-53.260009765625,-16.52001953125,-82.1201171875
2020-11-02,0.25,1.8199920654296875,1.490020751953125,7.1500244140625,25.590087890625,26.239990234375,98.8603515625
2020-11-03,0.8900070190429688,1.55999755859375,1.800018310546875,5.75,14.050048828125,26.010009765625,81.0498046875
2020-11-04,3.6999969482421875,7.5900115966796875,15.70001220703125,60.070068359375,111.580078125,37.300048828125,283.19921875
2020-11-05,3.0,5.649993896484375,4.519989013671875,31.8699951171875,78.81005859375,42.300048828125,225.5498046875
2020-11-06,-0.7099990844726562,-1.029998779296875,-0.72998046875,-9.4200439453125,-17.360107421875,-2.10986328125,-21.029296875
2020-11-09,1.80999755859375,0.720001220703125,-3.540008544921875,29.1500244140625,-80.340087890625,73.60009765625,151.4296875
2020-11-10,-0.7699966430664062,-3.8899993896484375,-5.66998291015625,-31.9100341796875,-48.719970703125,-7.239990234375,-91.33984375
2020-11-11,1.220001220703125,1.3800048828125,1.040008544921875,9.6099853515625,26.760009765625,17.68994140625,102.7900390625
2020-11-12,0.1300048828125,0.660003662109375,0.699981689453125,-5.0799560546875,22.56005859375,-9.989990234375,16.0703125
2020-11-13,0.23000335693359375,0.9199981689453125,2.6400146484375,7.7900390625,11.719970703125,15.56005859375,85.3505859375
2020-11-16,-0.34000396728515625,-1.6399993896484375,-1.9000244140625,-5.320068359375,-35.610107421875,15.010009765625,17.8203125
2020-11-17,-0.75,-1.1299896240234375,-1.279998779296875,-4.4400634765625,52.47998046875,-16.599853515625,-10.7802734375
2020-11-18,-0.779998779296875,-0.8100128173828125,-0.480010986328125,-4.9200439453125,-1.659912109375,2.56005859375,-3.2802734375
2020-11-19,-0.44000244140625,0.3000030517578125,-0.95001220703125,-8.4000244140625,-0.14990234375,-8.380126953125,-22.5595703125
2020-11-20,0.0,-0.220001220703125,-0.3800048828125,1.2899169921875,0.0,-2.56005859375,-12.009765625
2020-11-23,-0.15999603271484375,0.55999755859375,1.19000244140625,7.4100341796875,17.300048828125,9.280029296875,61.7900390625
2020-11-24,0.06000518798828125,-0.5200042724609375,0.05999755859375,-4.3599853515625,2.110107421875,16.929931640625,58.7001953125
2020-11-25,0.3800048828125,1.25,1.220001220703125,4.010009765625,23.81005859375,0.090087890625,17.099609375
2020-11-27,0.5400009155273438,0.980010986328125,1.800018310546875,1.659912109375,26.18994140625,8.900146484375,64.779296875
2020-11-30,0.3800048828125,-1.1299896240234375,-1.779998779296875,-12.0059814453125,13.139892578125,-4.170166015625,18.400390625
2020-12-01,1.9599990844726562,0.4399871826171875,2.19000244140625,13.6300048828125,20.4599609375,24.240234375,114.6201171875
2020-12-02,-0.7000045776367188,-1.3300018310546875,-1.19000244140625,0.0,1.56982421875,-8.669921875,-69.3603515625
2020-12-03,0.43999481201171875,-0.7599945068359375,-1.269989013671875,-3.93994140625,1.929931640625,-0.72998046875,19.8896484375
